a,b,j,H_5,v_2
19,2,10,13280400,4
19,2,11,33356400,4
19,4,4,509134320,4
19,4,5,393166800,4
19,4,12,28915920,4
19,8,4,3441387600,4
19,8,5,2865980400,4
19,8,12,148143600,4
19,10,2,8721638640,4
19,10,3,7885967760,4
19,10,6,4885408080,4
19,10,7,3871632240,4
19,10,10,1409396400,4
19,10,11,873568080,4
19,12,4,12623655600,4
19,12,5,10984669200,4
19,12,12,1321174800,4
19,16,4,33733501200,4
19,16,5,30170314800,4
19,16,12,6031214640,4
19,18,2,59235699600,4
19,18,3,55460156400,4
19,18,6,40826458800,4
19,18,7,35341866000,4
19,18,10,19494766800,4
19,18,11,14955850800,4
22,3,1,751842000,4
22,3,3,566442000,4
22,3,5,363409200,4
22,3,7,188924400,4
22,3,9,74578320,4
22,3,11,31611600,4
22,7,1,5490342000,4
22,7,3,4515750000,4
22,7,5,3301678800,4
22,7,7,2074942800,4
22,7,9,1067119920,4
22,7,11,416631600,4
22,11,1,20506122000,4
22,11,3,17685954000,4
22,11,5,13961785200,4
22,11,7,9881146800,4
22,11,9,6083516880,4
22,11,11,3110240400,4
22,15,1,55099278000,4
22,15,3,48927870000,4
22,15,5,40505648400,4
22,15,7,30840944400,4
22,15,9,21189049200,4
22,15,11,12769974000,4
22,19,1,121589067600,4
22,19,3,110111475600,4
22,19,5,94114350000,4
22,19,7,75206905200,4
22,19,9,55468158480,4
22,19,11,37072530000,4
23,0,4,31878000,4
23,0,5,24227280,4
23,0,12,370818000,4
23,2,2,377310960,4
23,2,3,318474000,4
23,2,6,147566160,4
23,2,7,102558960,4
23,2,10,29853360,4
23,2,11,40804560,4
23,4,4,1046250576,4
23,4,5,844513776,4
23,4,12,52467696,4
23,8,4,6866806320,4
23,8,5,5887380240,4
23,8,12,578849040,4
23,10,2,16681962960,4
23,10,3,15304077360,4
23,10,6,10216283760,4
23,10,7,8423850960,4
23,10,10,3734465040,4
23,10,11,2576277360,4
23,12,4,24803151120,4
23,12,5,22041906480,4
23,12,12,4008383280,4
23,16,4,65667118320,4
23,16,5,59699399760,4
23,16,12,15901719120,4
23,18,2,112546914480,4
23,18,3,106343200080,4
23,18,6,81851060880,4
